Dia,Suseptibles,Infectados,Personas Sanas,Recuperados
dia 120,suseptibles 1122,infectados 9,personas sanas 7991,recuperados 6869
dia 121,suseptibles 1122,infectados 6,personas sanas 7994,recuperados 6872
dia 122,suseptibles 1122,infectados 6,personas sanas 7994,recuperados 6872
dia 123,suseptibles 1120,infectados 8,personas sanas 7992,recuperados 6872
dia 124,suseptibles 1120,infectados 6,personas sanas 7994,recuperados 6874
dia 125,suseptibles 1120,infectados 4,personas sanas 7996,recuperados 6876
dia 126,suseptibles 1120,infectados 4,personas sanas 7996,recuperados 6876
dia 127,suseptibles 1119,infectados 5,personas sanas 7995,recuperados 6876
dia 128,suseptibles 1118,infectados 6,personas sanas 7994,recuperados 6876
dia 129,suseptibles 1118,infectados 5,personas sanas 7995,recuperados 6877
dia 130,suseptibles 1118,infectados 4,personas sanas 7996,recuperados 6878
dia 131,suseptibles 1118,infectados 4,personas sanas 7996,recuperados 6878
dia 132,suseptibles 1118,infectados 4,personas sanas 7996,recuperados 6878
dia 133,suseptibles 1118,infectados 4,personas sanas 7996,recuperados 6878
dia 134,suseptibles 1118,infectados 4,personas sanas 7996,recuperados 6878
dia 135,suseptibles 1118,infectados 3,personas sanas 7997,recuperados 6879
dia 136,suseptibles 1118,infectados 2,personas sanas 7998,recuperados 6880
dia 137,suseptibles 1118,infectados 2,personas sanas 7998,recuperados 6880
dia 138,suseptibles 1118,infectados 2,personas sanas 7998,recuperados 6880
dia 139,suseptibles 1118,infectados 2,personas sanas 7998,recuperados 6880
dia 140,suseptibles 1118,infectados 1,personas sanas 7999,recuperados 6881
dia 141,suseptibles 1118,infectados 1,personas sanas 7999,recuperados 6881
dia 142,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 143,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 144,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 145,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 146,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 147,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 148,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 149,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 150,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 151,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 152,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 153,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 154,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 155,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 156,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 157,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 158,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 159,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 160,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 161,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 162,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 163,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 164,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 165,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 166,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 167,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 168,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 169,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 170,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 171,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 172,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 173,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 174,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 175,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 176,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 177,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 178,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 179,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 180,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 181,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 182,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 183,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 184,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 185,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 186,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
